op_encoded,upr1,diff_tu,upr2
234.864,C5W716,343.122,O53943
19.1169,O32583,1792.94,C9QV90
1792.94,P0A8V2,96.8154,P17854
0.383725,P30130,32.6611,P06535
10275.1,P0A6F9,72.5702,P02929
64.0665,Q47150,110.205,P9WIC0
2177.22,P0A8T7,1678.52,P0A800
0.678346,P06611,2088.26,P9WHN4
8.17424,P0A8S9,919.109,P0A6Y1
2.78765,P76077,414.076,P9WJG2
57.5774,P09152,4021.31,P0A7N9
0.518928,P24183,835.023,P0A6F3
51.3374,P23478,1300.59,Q8U160
156.223,P0AGB6,26.3199,P96917
4.72071,P04993,76.1633,I6X486
67.4098,P08957,348.005,P37571
916.007,P0ACD6,330.975,O53512
4.05836,P45530,130.602,P22523
0.613069,P0A772,2586.06,P0A7S3
421.409,P0AC47,101.811,P0AFZ3
74.8465,P04128,437.579,P69786
250.846,Q59472,66.5837,P96618
185.533,C6E9R4,12143,P0CE48
159.471,Q59470,567.919,P0C0V0
136.742,P37146,881.121,P17315
54.4071,P00898,31.1164,P28905
360.346,P24182,4030.9,P0ADZ7
4.00592,P05719,1653.45,A7ZS61
66.9526,P0ABI8,958.42,P20429
22.9738,P9WF08,0.188533,Q8X607
47.6588,P0ACD8,115.479,P0AEG4
499.581,P0AC44,206.514,P0AC02
1449.75,P0A786,338.563,P0A780
281.925,P0ABH9,3792.32,Q55781
83.1384,P0A8Q6,108.044,C9QV42
11.6811,C6E9S6,302.703,O06976
293.638,P69054,2520.54,P0A7L0
1555.07,P37527,19.2197,Q5JII7
357.481,P07014,649.524,P0A903
3.45592,P11350,273.504,A7ZKI9
572.9,P0A734,1342.61,P71590
4.23031,Q46896,137.4,P9WQN4
22762.7,Q54715,423.851,P9WNI5
46.3722,P0ABJ3,79.7792,P37958
5.68647,P45531,10.0948,P28632
54.4431,P23308,2616.14,P0A6N4
11.9641,P77239,73.8666,Q59HN8
150.282,O32080,494.817,P00452
3.69915,O33347,310.202,P00579
2085.99,P0A836,7.94224,C9QXZ0
458.227,P0ABA6,4517.43,P69783
39.369,P0C077,2177.22,K0BCS5
21.278,P0A8Q3,149.403,P71002
121.115,P9WQH2,5430.08,K0BL73
24.1851,O32081,17.6619,Q46925
127.022,P0A7I0,421.409,C5A1E7
84.4426,P42316,5.66272,P12282
914.091,P0A6B9,1792.94,K0AVA1
473.369,O31617,107.019,P51834
182.426,P0ABJ1,49.8191,P9WFB8
140.191,Q59471,8660.15,P02359
428.538,P27248,9170.94,P0A6Y8
10.6671,P0AEJ6,182.379,P69924
189.083,P9WP32,30.1084,P0AFX8
53.8522,P22524,39.4962,P32099
112.455,P9WMK4,136.638,P60785
204.757,P9WGX4,742.429,P69222
928.58,P0ABD8,697.732,P9WGY8
6.49673,P0AAM1,5430.08,G7RM21
31.3644,O34853,0.438125,P37028
33.7371,P0A8Q0,75.2957,P14204
394.336,P0AC41,1279.32,P0A6Q3
1950.06,P0AGE9,463.303,P0CL52
70.0559,P19636,1647.03,P0A7R5
169.247,P00929,55.1983,P9WJ71
7.71745,Q6MX18,99.3106,P06971
290.003,P11349,635.628,C9QTZ3
253.748,P0C079,1893.06,P0A7J7
30.1084,P0AFX7,1110.48,P0A9P4
878.382,O53871,4673.77,P08200
81.7761,P0AFX9,222.362,P25144
8.08922,P45532,161.055,P21645
101.987,P0AE72,268.165,P07363
0.836718,P08394,1020.91,P0A6X7
134.39,P0AC55,20.6137,P0AFX4
16.9638,P60293,107.958,O31602
87.5156,P76014,208.389,Q79FE1
937.818,P0A6H5,387.723,P0AEG6
1550.02,P0A912,447.791,P0AEX9
1253.68,O53872,2.72209,P07648
1.89405,P02916,1120.1,P0A1N0
670.8,P00363,15.6533,P06129
2.41876,C6E9S4,205.129,P06628
772.202,P0A7B8,0.621141,P9WJ66
9.11523,C6E9S2,794.895,P0A9Q5
361.777,P37528,124.678,P0AGD7
13.6952,P0AAJ3,7411.69,P0ACF0
272.529,P9WGH6,105.068,P0A892
137.062,P76015,111.589,P71044
531.622,P0A9H9,2177.22,C5A0S8
1603.18,P0A6T9,574.952,P0AES4
42.6043,P69346,395.092,P0A9W3
51.9002,P30750,50.4433,D5CZ88
48881.5,Q54714,1.12063,P50456
547.78,P0A855,61.2944,P35154
38.5593,P9WF24,3403.82,B1X6E7
77.4153,P23477,1431.48,P09372
27.7762,P00905,4.92497,P0AA86
1205.34,P0A6F1,0.354836,P36655
224.445,P0A2K1,15057.8,P9WNK5
4.11564,P76079,20.2171,P9WF18
17.4142,P0AEK7,486.117,P07395
5.53823,P69739,1678.52,K0BU55
56.2452,P30749,98.9051,P0A988
43.3853,O06662,310.202,Q0P6L9
297.556,P0AE67,2779.85,P80643
418.611,P06533,438.375,P0A705
1.86673,P0ABY7,1827,P0A415
1242.62,Q9V119,4.80573,P9WGH5
36.7232,P30138,1678.52,C9QUL2
44.2699,P9WP52,33.7371,C9QU46
67.9474,P30748,3985.11,P0ACF4
1.53468,P77467,80.1116,P9WJK2
4.62417,P0ACC1,166.889,P21507
2.37696,P31697,26.8888,P0A698
2.79591,O33348,0.347018,P28630
194.722,P69681,95.913,P0A6M2
0.229834,Q46915,3305.05,P9WNK6
6.24735,P23873,5430.08,C6EHC0
3.58107,P76082,67.1948,Q55389
912.706,P00968,190.486,P10121
706.336,P0A6E6,1950.06,P0AGF1
19253.6,P0A6F5,775.043,P9WNI6
48.3936,P42315,1274.67,P0AA25
1.41761,P68183,47.2235,P30958
15.3002,P31547,276.298,P0AES6
4.56946,P38054,108.044,P68187
6.03815,P23874,18.2933,Q8ZRK4
1.83074,P0AES2,0.598038,P76016
1092.96,O31618,5521.73,P08877
531.527,P0AEZ3,1950.06,P0AGF0
201.207,P74873,1558.12,P62399
2026.53,P0A7F3,31.2625,P0A8N7
324.112,O34800,18.5395,P31224
15.104,C6E9S5,51.2229,P49785
,,69.5785,P0AFI2
,,1.41761,C9QV46
,,869.576,P0A8R0
,,3403.82,P0A7Z4
,,11.5167,P28631
,,16.7952,P06710
,,578.795,P0ACJ8
,,919.109,Q14F22
,,10683,P0A6P1
,,0.976523,Q47155
,,3403.82,C9QXI7
,,775.043,P9WNI7
,,8.20388,P9WGG8
,,81.5546,O07227
,,111.929,P06996
