8.74,0.349
857,557
95.4,2.37
1227,2.75
222,658
64.8,222
158,367
53.8,0.01
260,1.59
258,847
2182,1.74
968,115
1.69,2.67
2.32,253
2070,235
306,222
479,4.01
538,3789
4132,31.6
131,62.7
1316,2.19
1237,487
38.5,1381
158,21.4
178,89.6
173,4.65
37.9,0.929
0.151,0.209
1392,0.745
4.84,3.9
341,968
62,0.095
233,5.65
390,108
380,170
2595,89.6
1141,178
164,0.385
48.6,0.06
472,21
39.3,22.1
1267,103
2247,39.3
177,166
151,153
968,303
1559,6.12
2.46,188
5214,17
1141,4.85
1645,13.1
25.1,7.92
314,83.7
0.01,218
131,1.05
461,4.31
1.24,16
29.1,0.01
1251,376
920,32
28.3,1559
691,529
2945,144
42.9,0.207
1595,5
11.3,2.08
501,544
313,56
288,326
0.119,2.59
139,449
1141,261
691,60.3
13.4,691
148,76.3
2945,29.5
1227,39.3
0.058,2933
3013,1399
2175,50.6
12.4,8.02
269,0.473
1.08,0.14
726,94.7
215,1.33
330,773
1065,357
7.24,161
4.75,1190
259,29.8
1645,125
0.06,1020
3559,1.24
48.1,4.8
4652,3.98
253,69.3
20.4,28.3
1.3,33.5
299,0.01
3900,1665
306,19.1
2945,1.38
1302,625
1559,28
1645,8.74
679,27.8
62.9,3.23
6.43,17.4
1834,2.57
345,6.74
17,143
196,0.494
,0.876
,397
,13.3
,0.99
