Adjacent,Non-adjacent,DiffTU
2790.9,5484,1165
4849.9,3218.5,2038.1
1643.9,2113.5,8406.6
756.5,4228.2,1583.3
3277.8,1393.3,2022.9
3639.3,368.9,1609.6
3161.8,1738,1967
371.8,1850.5,2595.4
6062.3,2486.4,6306.1
5856,1141.3,3816.6
1781.6,3797.9,3575.6
3000.4,1330.7,2444.2
6725.5,1364.1,2046.4
2350.5,2008.7,1866.8
1961.8,1704.9,1526.5
913.7,5169.7,9307.6
2996.4,1515.3,1080.7
6955.7,431.1,1189.2
1551.4,941.3,1343.7
506.8,1852.2,1353.4
3183.5,1427,821
5215.2,726.4,1634.9
2744.6,3603.3,1118.6
4700.2,1146.4,669.4
1975,1295.6,620.8
5015.6,1949.3,666.4
3783.2,2131.8,1625.7
1652.3,2055.1,1439.9
4545,1237.8,671.6
5160.1,2238.9,1774.4
2249.8,2681.5,229.1
2718.3,4226.2,1069
5984.8,1584.9,805.3
5617,565.8,3023.9
1334.8,1553.6,1156.9
3979.3,1668.1,269.5
584.3,1828.1,834
2588.6,2279.8,1701.6
1681.1,1898.6,2257.7
2698.2,473.7,501.7
9892,1970.1,218.4
3239.6,286,1971.2
1100.3,498.2,467.3
2981.8,4286.1,2065.1
2456,1236.6,2136.8
2841.6,2572.8,2070.8
3606.5,1760.9,4828.3
3645,844.9,2167
483.2,7635.4,4550
1387.1,2146.4,2161
3207.6,4068.5,1929.5
4022.1,4532.3,7070.2
16583,688.4,2116.1
1937.9,722.5,1393.2
3864.8,2784.2,2741.1
2112.9,3516.8,3230.6
1415,2930.5,568.6
4774,1164,836.7
2201.8,248.8,665.4
3135.1,313,5476.8
2354,1870.5,495.5
3576.2,3846.1,394
3442.5,4913.2,1234.6
2730.4,3516.9,904.5
3621,766.5,3176.3
2688.9,629.9,1595.6
1515.7,1982.8,4872.6
1434.7,812.6,3716.8
2799.5,2306.2,2163.2
5134.6,3263.8,4858.1
1028.6,2572.5,2072.6
877.4,2506.3,3190.4
1657.2,2409.3,822.8
3032.6,772.2,2662.9
5186.2,2727.7,2378.4
5518.5,1428.8,3713.3
691,4625.5,3940
2396.2,,1652.9
1638.2,,437.9
1564.1,,537.3
