Op encoded,,,Diff TU,
4.56946,P38054,,99.3106,P06971
13.4279,P60293,,430.993,P0AES6
64.0665,Q47150,,2131.81,P0ADZ7
11.9641,P77239,,1431.48,P09372
53.8522,P22524,,273.504,A7ZKI9
1.41761,P68183,,3754.95,K0BCS5
6.49673,P0AAM1,,96.8154,P17854
3.45592,P11350,,387.723,P0AEG6
74.8465,P04128,,10.0948,P28632
840.612,P0A734,,3867.16,P0A7L0
0.836718,P08394,,223.375,P0A903
40.9029,P0C079,,20.6137,P0AFX4
8.08922,P45532,,3754.95,C5A0S8
4.05836,P45530,,11.5167,P28631
483.045,P0A6H5,,310.202,P00579
33.7371,P0A8Q0,,6378.67,G7RM21
66.9526,P0ABI8,,15.6533,P06129
811.426,P0ACD6,,15497.5,P0CE48
3754.95,P0A8T7,,1347.07,P0AA25
293.638,P69054,,5532.79,P0A7S3
677.206,P0AEZ3,,6002.48,P0ACF0
6.08655,P0AAJ3,,375.931,P0A8R0
1.53468,P77467,,1711.09,Q14F22
67.9474,P30748,,1928.3,P0A6X7
362.902,P0AC44,,3472.67,P0A7R5
10660.6,P0A6F5,,111.929,P06996
136.742,P37146,,0.188533,Q8X607
11.6811,C6E9S6,,836.326,P0A705
822.414,P0A6E6,,1.12063,P50456
2.41876,C6E9S4,,773.158,P0ACJ8
531.622,P0A9H9,,391.215,P0A6N4
0.383725,P30130,,35.2575,P0A698
56.2452,P30749,,2600.77,C9QV90
53.01,P0AGB6,,356.184,P0A9W3
4.23031,Q46896,,67.4759,P0A892
2.37696,P31697,,1.41761,C9QV46
87.5156,P76014,,18.5395,P31224
57.3272,P0A7I0,,166.889,P21507
2600.77,P0A8V2,,4006.84,P0A6P1
1205.34,P0A6F1,,310.202,Q0P6L9
35.3171,P0AFX9,,0.354836,P36655
2.78765,P76077,,437.579,P69786
57.5774,P09152,,6378.67,K0BL73
2211.55,P0A836,,72.5702,P02929
0.678346,P06611,,14.5393,D5CZ88
912.706,P00968,,0.438125,P37028
47.6588,P0ACD8,,1261.19,P0A6Q3
39.369,P0C077,,835.023,P0A6F3
1137.41,P0A2K1,,190.486,P10121
4.00592,P05719,,17.6619,Q46925
194.722,P69681,,2981.46,B1X6E7
36.7232,P30138,,1979.78,K0BU55
3.58107,P76082,,1979.78,C9QUL2
3595.11,P0A786,,4167.95,P69783
87.4801,P0A7B8,,1950.06,P0AGF0
428.538,P27248,,794.895,P0A9Q5
4.72071,P04993,,5.66272,P12282
138.388,P00905,,31.1164,P28905
0.518928,P24183,,0.347018,P28630
51.9002,P30750,,98.9388,P0AFZ3
8.17424,P0A8S9,,134.847,P0AFI2
2026.53,P0A7F3,,33.7371,C9QU46
10.6671,P0AEJ6,,85.9805,P0A780
46.3722,P0ABJ3,,158.208,P69924
7208.12,P0A6F9,,224.396,P60785
397.754,P24182,,881.121,P17315
0.613069,P0A772,,108.044,C9QV42
67.4098,P08957,,130.602,P22523
657.147,P0ABD8,,108.044,P68187
297.556,P0AE67,,2600.77,K0AVA1
10.8579,P0A8Q6,,3489.09,P62399
5.53823,P69739,,3928.32,P0A7N9
122.437,C6E9R4,,47.2235,P30958
19.1169,O32583,,567.919,P0C0V0
6.03815,P23874,,206.514,P0AC02
301.072,P0A912,,1711.09,P0A6Y1
42.6043,P69346,,124.678,P0AGD7
762.651,P0ABA6,,100.803,P0A988
1.86673,P0ABY7,,2981.46,C9QXI7
43.8843,P11349,,8660.15,P02359
5.68647,P45531,,49.4535,P0A6M2
90.0597,P0AC47,,2981.46,P0A7Z4
137.062,P76015,,1653.45,A7ZS61
234.528,P0AC55,,635.628,C9QTZ3
99.7317,P00363,,4833.04,P0A7J7
394.336,P0AC41,,6939.99,P0ACF4
281.925,P0ABH9,,2.72209,P07648
1950.06,P0AGE9,,486.117,P07395
1520.45,P0A6T9,,447.791,P0AEX9
182.426,P0ABJ1,,0.976523,Q47155
1.83074,P0AES2,,8986.85,P0A6Y8
448.595,P0A855,,6378.67,C6EHC0
46.8491,C5W716,,161.055,P21645
357.481,P07014,,90.0597,C5A1E7
6.24735,P23873,,115.479,P0AEG4
15.3002,P31547,,39.4962,P32099
1578.02,P0A6B9,,504.066,P0A9P4
4.11564,P76079,,412.659,P0AES4
0.229834,Q46915,,16.7952,P06710
,,,1950.06,P0AGF1
,,,10.9989,P0A8N7
,,,1300.9,P69222
,,,494.817,P00452
,,,268.165,P07363
,,,0.598038,P76016
,,,1979.78,P0A800
,,,4673.77,P08200
