185,7914.5,338.5
288,13836,269
173,168,1900.5
292,288,1563.5
142,531,310
168,522.5,125.35
5.11,142,125.35
8.7045,799.5,33.5
45.75,8.49,340.15
142,13.25,108
1181,402,471.5
258,381.5,982.5
0.494,,63.8
2.57,,159.1
1.05,,609
4.85,,742
1078,,742
29.5,,44.55
69.3,,44.55
6.74,,11.29
0.745,,8.02
29.8,,126
17,,799.5
17,,762
50.25,,41.5
1073,,29.9
1303,,21
64.8,,0.01
53.1,,62
5,,2.4545
4.31,,1722
22.1,,1073
113,,449
282.5,,1703
77.6,,275
997,,2675
578,,79.65
158.35,,170
6.66,,460
51.1,,1838
1145,,1242
1593,,373
306.5,,50.5
17.4,,23.16
15.76,,7.74
4.01,,4.41
382,,1.165
1523,,0.06
0.473,,8.81
0.876,,3.64
2.75,,970.5
0.01,,644
50.6,,29.9
0.385,,89.8
,,33.6
,,8.81
,,4.475
,,158.35
,,112
,,6.92
,,60.3
,,3.98
,,17.6
,,16.8
,,4.65
,,15.76
,,48813
,,22837
,,90.4
,,272
,,223
,,295
