2yfi	burkholderia_xenovorans	P37333	P37334
3clr	methylophilus_methylotrophus	P53570	P53571
2hqs	escherichia_coli	P0A855	P0A912
4ayf	yersinia_pestis	P26926	P26948
1fz6	methylococcus_capsulatus	P18798	P22869
1fz6	methylococcus_capsulatus	P11987	P22869
1fz6	methylococcus_capsulatus	P11987	P18798
3kfu	thermus_thermophilus	Q5SIC2	Q9LCX3
3kfu	thermus_thermophilus	Q5SIC2	Q9LCX2
3kfu	thermus_thermophilus	Q5SIC2	Q9LCX4
3kfu	thermus_thermophilus	Q9LCX3	Q9LCX4
3kfu	thermus_thermophilus	Q9LCX2	Q9LCX3
3kfu	thermus_thermophilus	Q9LCX2	Q9LCX4
1z7n	lactococcus_lactis	Q02129	Q02147
4epe	enterobacter_aerogenes	P18315	P18316
4epe	enterobacter_aerogenes	P18314	P18316
4epe	enterobacter_aerogenes	P18314	P18315
1g20	azotobacter_vinelandii	P07328	P07329
1g20	azotobacter_vinelandii	P00459	P07328
1g20	azotobacter_vinelandii	P00459	P07329
2btq	prosthecobacter_dejongeii	Q8GCC1	Q8GCC5
1c3o	escherichia_coli	P00968	P0A6F1
3fye	rhodobacter_sphaeroides	P33517	Q03736
1bcp	bordetella_pertussis	P04977	P04978
1bcp	bordetella_pertussis	P04977	P04979
1bcp	bordetella_pertussis	P04977	P0A3R5
1bcp	bordetella_pertussis	P04977	P04981
1bcp	bordetella_pertussis	P04978	P04979
1bcp	bordetella_pertussis	P04978	P0A3R5
1bcp	bordetella_pertussis	P04978	P04981
1bcp	bordetella_pertussis	P04979	P0A3R5
1bcp	bordetella_pertussis	P04979	P04981
1bcp	bordetella_pertussis	P04981	P0A3R5
1k8z	salmonella_typhimurium	P00929	P0A2K1
3aer	rhodobacter_capsulatus	P26163	P26164
3s33	thermus_thermophilus	Q5SJ79	Q5SJ80
3s33	thermus_thermophilus	P82543	Q5SJ79
3s33	thermus_thermophilus	P82543	Q5SJ80
2hmk	pseudomonas_sp.	P0A111	P0A113
1ep1	lactococcus_lactis	P54322	P56968
1ie7	sporosarcina_pasteurii	P41021	P41022
1ie7	sporosarcina_pasteurii	P41020	P41022
1ie7	sporosarcina_pasteurii	P41020	P41021
2es4	burkholderia_glumae	Q05489	Q05490
1mhz	methylosinus_trichosporium	P27354	P27355
1mhz	methylosinus_trichosporium	P27353	P27354
1mhz	methylosinus_trichosporium	P27353	P27355
1brl	vibrio_harveyi	P07739	P07740
4jws	pseudomonas_putida	P00183	P00259
2bru	escherichia_coli	P07001	P0AB67
2f6a	staphylococcus_aureus	Q53654	Q805R9
1dxr	rhodopseudomonas_viridis	P06008	P07173
1dxr	rhodopseudomonas_viridis	P06008	P06009
1dxr	rhodopseudomonas_viridis	P06008	P06010
1dxr	rhodopseudomonas_viridis	P06009	P07173
1dxr	rhodopseudomonas_viridis	P06009	P06010
1dxr	rhodopseudomonas_viridis	P06010	P07173
4hdm	sporomusa_ovata	F6MZ55	F6MZ56
3kp1	clostridium_sticklandii	E3PY95	E3PY96
1n62	oligotropha_carboxidovorans	P19919	P19921
1n62	oligotropha_carboxidovorans	P19919	P19920
1n62	oligotropha_carboxidovorans	P19920	P19921
4he8	thermus_thermophilus	Q56217	Q60019
4he8	thermus_thermophilus	Q56217	Q56225
4he8	thermus_thermophilus	Q56217	Q56226
4he8	thermus_thermophilus	Q56217	Q56227
4he8	thermus_thermophilus	Q56217	Q56228
4he8	thermus_thermophilus	Q56217	Q56229
4he8	thermus_thermophilus	Q56225	Q60019
4he8	thermus_thermophilus	Q56225	Q56226
4he8	thermus_thermophilus	Q56225	Q56227
4he8	thermus_thermophilus	Q56225	Q56228
4he8	thermus_thermophilus	Q56225	Q56229
4he8	thermus_thermophilus	Q56226	Q60019
4he8	thermus_thermophilus	Q56226	Q56227
4he8	thermus_thermophilus	Q56226	Q56228
4he8	thermus_thermophilus	Q56226	Q56229
4he8	thermus_thermophilus	Q56227	Q60019
4he8	thermus_thermophilus	Q56227	Q56228
4he8	thermus_thermophilus	Q56227	Q56229
4he8	thermus_thermophilus	Q56228	Q60019
4he8	thermus_thermophilus	Q56228	Q56229
4he8	thermus_thermophilus	Q56229	Q60019
2qjk	rhodobacter_sphaeroides	Q02761	Q02762
2qjk	rhodobacter_sphaeroides	Q02760	Q02761
2qjk	rhodobacter_sphaeroides	Q02760	Q02762
3m9s	thermus_thermophilus	Q56222	Q56223
3m9s	thermus_thermophilus	Q56222	Q5SKZ7
3m9s	thermus_thermophilus	Q56222	Q56224
3m9s	thermus_thermophilus	Q56221	Q56222
3m9s	thermus_thermophilus	Q56221	Q56223
3m9s	thermus_thermophilus	Q56221	Q5SKZ7
3m9s	thermus_thermophilus	Q56221	Q56224
3m9s	thermus_thermophilus	Q56223	Q5SKZ7
3m9s	thermus_thermophilus	Q56223	Q56224
3m9s	thermus_thermophilus	Q56220	Q56222
3m9s	thermus_thermophilus	Q56220	Q56221
3m9s	thermus_thermophilus	Q56220	Q56223
3m9s	thermus_thermophilus	Q56220	Q5SKZ7
3m9s	thermus_thermophilus	Q56220	Q56224
3m9s	thermus_thermophilus	Q56219	Q56222
3m9s	thermus_thermophilus	Q56219	Q56221
3m9s	thermus_thermophilus	Q56219	Q56223
3m9s	thermus_thermophilus	Q56219	Q56220
3m9s	thermus_thermophilus	Q56219	Q5SKZ7
3m9s	thermus_thermophilus	Q56219	Q56224
3m9s	thermus_thermophilus	Q56218	Q56222
3m9s	thermus_thermophilus	Q56218	Q56221
3m9s	thermus_thermophilus	Q56218	Q56223
3m9s	thermus_thermophilus	Q56218	Q56220
3m9s	thermus_thermophilus	Q56218	Q56219
3m9s	thermus_thermophilus	Q56218	Q5SKZ7
3m9s	thermus_thermophilus	Q56218	Q56224
3m9s	thermus_thermophilus	Q56224	Q5SKZ7
2wdv	escherichia_coli	P0AC41	P69054
