A2NHM3 Q03708
P10121 Q97ZE7
L7MTL0 P79483
P12975 P37277
P37277 Q55330
P04229 Q48898
P41783 P41786
P04229 P0A0M0
D0VWR3 D0VWR4
P19052 Q8DKM3
P01903 P0A0L3
P0A7Z4 Q9EZJ8
B1L914 Q9X1R4
P0A6E6 P0ABB0
A1X1V8 Q6PNN5
C5A0S8 P03704
P0A6E6 P0ABB4
O58404 Q9I2D8
P09132 P14576
P0AES5 Q84B82
C9QUL2 P03704
P16009 Q8FHJ9
P06567 Q9X4C9
P19569 P37277
A1W1R1 K8VQB8
P07591 Q55389
D3JIB2 Q91132
1791255 P0A0L5
A2NTY6 P01903
P39615 Q38503
P01808 P37019
P03775 P05719
P96621 P96622
437099 P19821
P02671 Q48WD8
B3DIN1 Q06971
P00722 P01823
P69905 Q6G8J7
5757773 P25156
P35874 Q9X1R4
P37277 Q55329
P00698 P0C0V0
P03775 P08957
D0VWR1 Q8DKM3
1513182 P00644
P04229 Q52T95
P08877 Q9RE09
P37019 Q4VBH1
Q13362 Q5FBB7
P27796 P39108
P12313 Q8DKM3
P0A800 P0ACJ8
P0CG48 Q99PZ6
P01751 P0AA27
P0A8V2 P0ACJ8
P01876 Q2YVR9
L7MTK9 P01903
P69905 Q2FG07
P0A6F5 P17313
P58091 Q9A9T8
D0VWR3 P12313
P62820 Q7DB50
A2NTY6 Q48898
L7MTK9 P79483
P01867 P0CL66
P02679 Q48WD8
O06122 Q9KX36
P03034 Q9EZJ8
D0VWR2 Q8DKM3
P01636 P98002
P12239 Q8DKM3
P0AA25 Q8GCC5
P01552 P01903
P01850 P0A0M0
P01848 P0A0M0
P0A8T7 P0ACJ8
P14576 P49458
P02675 Q48WD8
P37277 P72986
Q13362 Q76MZ3
P01031 Q91132
P00747 P00779
P0ABA6 P0ABB4
P09132 P37108
P01903 Q8NKX2
P01903 P0A0L2
P07591 Q55781
P12238 Q8DKM3
P12241 Q8DKM3
O07347 P49458
Q5FBB7 Q76MZ3
D3JIB2 P01031
P04229 P0A0L2
P09856 Q55781
Q9FDF2 Q9FDS0
P19054 Q8DKM3
P60953 Q06277
O31466 Q9X6J6
B1JSA0 P00766
C9QXI7 P03704
P06567 Q9X4D0
P04229 P0A0L5
A6T8I0 A6T8I1
O07347 P37108
P00771 P23827
P68871 Q2FG07
P01850 Q8NKX2
P01552 P04229
P09132 P49458
Q3YE50 Q775D6
P40136 P62158
D0VWR5 Q8DKM3
P00763 P23827
Q9WY94 Q9X100
Q9CIV6 Q9CIV7
B5Y388 P36659
P28061 Q9U8G2
Q7DGD4 Q8DKM3
P0A6H5 P39070
P39108 P50091
P56152 Q8DKM3
A7XX65 Q8RQE9
P00588 Q99075
P01837 P0CL66
P01869 Q9YDF8
P01738 P04229
P68871 Q8NW39
J3QMZ0 P18527
Q9KX36 Q9KX37
Q9WY94 Q9X0Z9
P0A7R5 Q57WE7
27228521 28201207
P18525 P98002
Q6VAL8 Q6VAL9
P29255 P37277
Q8Z6A4 Q8Z6A7
P01903 P0A0L5
D5C6F7 Q93IS4
P0ABA6 P0ABB0
P01738 P01903
P0AAW9 P31224
D0VWR3 Q7DGD4
D0VWR3 P56152
P01903 P0A0M0
C9QV90 P03704
P32422 P37277
D0VWR3 D0VWR8
P67775 Q5FBB7
Q70M91 Q7DD77
O07347 Q97ZE7
P29254 P37277
P01636 P08306
B1L914 Q9X1I9
F2Z283 F2Z284
D0VWR3 D0VWR7
P01837 P37019
P01738 Q48898
A2NTY6 P04229
P35874 Q9X1I9
P01634 P06654
O83922 O83923
F5ZMH5 F5ZQZ4
D0VWR3 P12238
A6T8I1 A6T8I2
D0VWR4 Q8DKM3
P01552 P13760
D0VWR3 P19054
P26512 Q93C54
Q5SJY4 Q8EKM7
D0VWR3 P12239
P16009 Q9KN60
P01834 Q51918
O07347 P09132
A6T8I0 A6T8I2
D0VWR3 P19052
P09856 P27320
P01903 P13760
P0A7S3 Q9WX76
D0VWR2 D0VWR3
Q9X1I9 Q9X1R4
P01837 P19909
D0VWR3 P51765
P12312 Q8DKM3
P0A9B2 Q9ESV6
Q8Z6A3 Q8Z6A4
P67775 Q76MZ3
P01783 P06654
1513182 P19821
D0VWR3 P12312
P51765 Q8DKM3
P01903 Q52T95
D0VWR3 D0VWR5
A0A5B4 P06886
D0VWR3 P0A387
5757773 P28061
P03951 P23827
P04229 P0A0L3
P27796 P50091
L7MTK7 P01854
P0A387 Q8DKM3
P62330 P62820
A9Z0I5 Q81JD7
P08306 P98002
L7MTK9 L7MTL0
P61077 Q99PZ6
P12295 P14739
Q84II6 Q8GI16
P00698 Q9I574
A7XX65 Q5SHR6
O07347 P10121
P01837 Q9YDF8
A7XX65 Q5SKW1
D0VWR3 P12240
P0C0F6 Q7CLS3
Q8TZI1 Q9HLA5
P01903 Q48898
Q168G2 Q5LUF3
P01024 Q6GA60
P00722 P01642
P01724 P0AA27
D0VWR3 P12241
Q30154 Q8NKX2
P01636 P18525
O07347 P14576
A7XX65 Q8RQE7
P12240 Q8DKM3
P14576 P37108
P00698 P39099
P23827 P48740
Q6G8J7 Q9NZD4
L7MTL0 P01903
A7XX65 Q8RQE8
P00579 P03704
1791255 P01552
P09856 Q55389
P18527 Q83WB0
Q9X0Z9 Q9X100
P0A6M8 Q9WX76
P08306 P18525
P01857 P19909
D0VWR3 Q8DKM3
P28061 Q38BM8
B1L914 P35874
AJ245476 J245477
J3QMZ0 Q83WB0
J245477 P19909
P01865 Q9YDF8
P00880 Q44212
D0VWR1 D0VWR3
P25156 Q38BM8
Q8Z6A3 Q8Z6A7
P00579 P0ACJ8
O06122 Q9KX37
AJ245476 P19909
D0VWR8 Q8DKM3
L0I5A1 P10987
P01634 P01783
D0VWR7 Q8DKM3
P00780 P05119
A9CHM9 Q89VT8
P00698 P0AD59
