geneA_id	geneB_id	geneA_position	geneB_position	intervening_genes	operon_id	operon_length
P0AFH8	Q2M5U1	1	2	0	174511	4
P0AFH8	P39407	1	3	1	174511	4
P0AFH8	P39408	1	4	2	174511	4
P39407	Q2M5U1	3	2	0	174511	4
P39408	Q2M5U1	4	2	1	174511	4
P39407	P39408	3	4	0	174511	4
P08622	P0A6Y8	2	1	0	173657	2
P76462	P76463	2	1	0	174088	2
P0AFH2	P23843	2	1	0	173908	5
P0AFH6	P23843	3	1	1	173908	5
P23843	P76027	1	4	2	173908	5
P23843	P77737	1	5	3	173908	5
P0AFH2	P0AFH6	2	3	0	173908	5
P0AFH2	P76027	2	4	1	173908	5
P0AFH2	P77737	2	5	2	173908	5
P0AFH6	P76027	3	4	0	173908	5
P0AFH6	P77737	3	5	1	173908	5
P76027	P77737	4	5	0	173908	5
P0A8K5	P0AFW8	1	2	0	173697	2
P0AEM6	P52627	1	2	0	174033	2
P08192	P0A9Q5	2	1	0	174106	3
P09549	P0A9Q5	3	1	1	174106	3
P08192	P09549	2	3	0	174106	3
P0AG20	P55135	2	1	0	174202	2
P0A761	P41036	2	1	0	174293	4
P41036	P45425	1	3	1	174293	4
P41036	P45424	1	4	2	174293	4
P0A761	P45425	2	3	0	174293	4
P0A761	P45424	2	4	1	174293	4
P45424	P45425	4	3	0	174293	4
P0AA73	P42641	1	2	0	174283	2
P0ADD7	P39404	1	2	0	174509	2
P19768	P19769	1	2	0	174395	2
P0A800	P60546	2	1	0	174374	5
P0AG24	P60546	3	1	1	174374	5
P0AGJ2	P60546	4	1	2	174374	5
P24230	P60546	5	1	3	174374	5
P0A800	P0AG24	2	3	0	174374	5
P0A800	P0AGJ2	2	4	1	174374	5
P0A800	P24230	2	5	2	174374	5
P0AG24	P0AGJ2	3	4	0	174374	5
P0AG24	P24230	3	5	1	174374	5
P0AGJ2	P24230	4	5	0	174374	5
P03061	P08142	1	2	0	174370	3
P03061	P0ADF8	1	3	1	174370	3
P08142	P0ADF8	2	3	0	174370	3
P06959	P0AFG8	2	1	0	173681	2
P0AEW9	P69811	2	1	0	174077	3
P20966	P69811	3	1	1	174077	3
P0AEW9	P20966	2	3	0	174077	3
P0A6D5	P76198	2	1	0	173985	3
P05194	P76198	3	1	1	173985	3
P05194	P0A6D5	3	2	0	173985	3
P75824	P75825	2	1	0	173841	2
P33346	P33347	1	2	0	174065	2
P0AC78	P0AG00	1	2	0	174347	6
P0AC78	P27828	1	3	1	174347	6
P0AC78	P27829	1	4	2	174347	6
P0AC78	P27830	1	5	3	174347	6
P0AC78	P61887	1	6	4	174347	6
P0AG00	P27828	2	3	0	174347	6
P0AG00	P27829	2	4	1	174347	6
P0AG00	P27830	2	5	2	174347	6
P0AG00	P61887	2	6	3	174347	6
P27828	P27829	3	4	0	174347	6
P27828	P27830	3	5	1	174347	6
P27828	P61887	3	6	2	174347	6
P27829	P27830	4	5	0	174347	6
P27829	P61887	4	6	1	174347	6
P27830	P61887	5	6	0	174347	6
P63386	P64606	1	2	0	174286	5
P63386	P64604	1	3	1	174286	5
P0ADV7	P63386	4	1	2	174286	5
P63386	P64602	1	5	3	174286	5
P64604	P64606	3	2	0	174286	5
P0ADV7	P64606	4	2	1	174286	5
P64602	P64606	5	2	2	174286	5
P0ADV7	P64604	4	3	0	174286	5
P64602	P64604	5	3	1	174286	5
P0ADV7	P64602	4	5	0	174286	5
P0A9S1	P0AB87	2	1	0	174206	2
P0ABD8	P24182	1	2	0	174299	2
P77554	P77624	2	1	0	173727	2
P26458	P26459	2	1	0	173861	2
P0A9T8	P77504	1	2	0	173765	2
P00888	P07023	1	2	0	174163	2
P23883	P37906	1	2	0	173920	3
P23883	P50457	1	3	1	173920	3
P37906	P50457	2	3	0	173920	3
P06968	P0ABQ0	2	1	0	174375	2
P46125	P64517	1	2	0	174038	2
P0A828	P30852	2	1	0	174446	6
P30852	P45771	1	3	1	174446	6
P30852	P45748	1	4	2	174446	6
P15770	P30852	5	1	3	174446	6
P30852	P45795	1	6	4	174446	6
P0A828	P45771	2	3	0	174446	6
P0A828	P45748	2	4	1	174446	6
P0A828	P15770	2	5	2	174446	6
P0A828	P45795	2	6	3	174446	6
P45748	P45771	4	3	0	174446	6
P15770	P45771	5	3	1	174446	6
P45771	P45795	3	6	2	174446	6
P15770	P45748	5	4	0	174446	6
P45748	P45795	4	6	1	174446	6
P15770	P45795	5	6	0	174446	6
P33128	P33129	1	2	0	173685	6
P33128	P37018	1	3	1	173685	6
P33128	P37017	1	4	2	173685	6
P33128	P37016	1	5	3	173685	6
P31058	P33128	6	1	4	173685	6
